Replicate_ID,Treatment ,Pardosa_1,Pardosa_2,Pardosa_3,Pardosa_4,Pardosa_5,Pardosa_6,Pardosa_7,Pardosa_8,mean_activity
1,Inactive,7,7,8,8,4,2,8,8,6.5
2,Inactive,8,6,11,6,9,8,7,7,7.75
3,Inactive,4,8,13,8,8,3,8,8,7.5
4,Inactive,7,11,12,6,11,7,6,7,8.375
5,Inactive,8,5,13,3,13,4,8,11,8.125
6,Inactive,12,7,7,8,7,8,7,13,8.625
7,Inactive,7,4,2,6,11,5,12,9,7
8,Inactive,5,9,8,7,8,7,11,7,7.75
9,Inactive,8,8,3,5,13,5,8,8,7.25
10,Inactive,6,11,7,8,13,3,7,12,8.375
11,Inactive,7,13,4,12,7,8,11,8,8.75
12,Inactive,8,7,8,9,2,6,12,6,7.25
13,Inactive,9,6,5,7,8,7,8,9,7.375
14,Inactive,7,8,7,8,3,5,9,7,6.75
15,Inactive,11,11,5,7,9,11,7,8,8.625
16,Active,13,21,14,23,14,16,17,18,17
17,Active,14,32,21,18,21,19,21,17,20.375
18,Active,18,25,15,26,15,18,23,21,20.125
19,Active,16,21,17,18,17,16,28,23,19.5
20,Active,21,24,21,16,21,21,31,28,22.875
21,Active,23,18,23,19,23,20,17,31,21.75
22,Active,22,16,28,18,28,27,18,17,21.75
23,Active,28,19,31,16,13,15,16,22,20
24,Active,16,18,17,21,15,16,17,16,17
25,Active,17,16,18,20,17,17,15,23,17.875
26,Active,18,21,16,27,18,21,22,18,20.125
27,Active,15,20,17,28,21,22,21,21,20.625
28,Active,19,27,15,23,29,18,22,24,22.125
29,Active,20,28,21,19,17,21,23,22,21.375
30,Active,21,23,18,17,23,28,26,20,22
31,Mixed,8,8,7,8,19,14,28,23,14.375
32,Mixed,3,7,5,11,18,21,16,21,12.75
33,Mixed,7,11,13,3,16,15,17,27,13.625
34,Mixed,4,13,6,8,21,17,18,22,13.625
35,Mixed,8,9,7,11,20,21,15,17,13.5
36,Mixed,5,7,8,7,27,23,19,18,14.25
37,Mixed,7,8,13,5,28,28,20,16,15.625
38,Mixed,5,12,7,8,23,31,23,21,16.25
39,Mixed,3,8,11,12,19,17,25,26,15.125
40,Mixed,8,13,12,9,17,18,27,21,15.625
41,Mixed,6,9,10,7,13,18,21,20,13
42,Mixed,7,7,9,8,15,16,17,16,11.875
43,Mixed,5,13,7,7,17,21,19,17,13.25
44,Mixed,11,9,8,12,18,20,23,13,14.25
45,Mixed,13,11,11,13,21,17,23,18,15.875
