Replicate_ID,Treatment ,Phase,Pardosa
1,Inactive,Initial,8
2,Inactive,Initial,8
3,Inactive,Initial,8
4,Inactive,Initial,8
5,Inactive,Initial,8
6,Inactive,Initial,8
7,Inactive,Initial,8
8,Inactive,Initial,8
9,Inactive,Initial,8
10,Inactive,Initial,8
11,Inactive,Initial,8
12,Inactive,Initial,8
13,Inactive,Initial,8
14,Inactive,Initial,8
15,Inactive,Initial,8
16,Active,Initial,8
17,Active,Initial,8
18,Active,Initial,8
19,Active,Initial,8
20,Active,Initial,8
21,Active,Initial,8
22,Active,Initial,8
23,Active,Initial,8
24,Active,Initial,8
25,Active,Initial,8
26,Active,Initial,8
27,Active,Initial,8
28,Active,Initial,8
29,Active,Initial,8
30,Active,Initial,8
31,Mixed,Initial,8
32,Mixed,Initial,8
33,Mixed,Initial,8
34,Mixed,Initial,8
35,Mixed,Initial,8
36,Mixed,Initial,8
37,Mixed,Initial,8
38,Mixed,Initial,8
39,Mixed,Initial,8
40,Mixed,Initial,8
41,Mixed,Initial,8
42,Mixed,Initial,8
43,Mixed,Initial,8
44,Mixed,Initial,8
45,Mixed,Initial,8
1,Inactive,Post-Treatment,5
2,Inactive,Post-Treatment,6
3,Inactive,Post-Treatment,5
4,Inactive,Post-Treatment,7
5,Inactive,Post-Treatment,7
6,Inactive,Post-Treatment,6
7,Inactive,Post-Treatment,7
8,Inactive,Post-Treatment,5
9,Inactive,Post-Treatment,7
10,Inactive,Post-Treatment,8
11,Inactive,Post-Treatment,6
12,Inactive,Post-Treatment,5
13,Inactive,Post-Treatment,6
14,Inactive,Post-Treatment,6
15,Inactive,Post-Treatment,6
16,Active,Post-Treatment,5
17,Active,Post-Treatment,6
18,Active,Post-Treatment,5
19,Active,Post-Treatment,8
20,Active,Post-Treatment,4
21,Active,Post-Treatment,5
22,Active,Post-Treatment,6
23,Active,Post-Treatment,5
24,Active,Post-Treatment,7
25,Active,Post-Treatment,5
26,Active,Post-Treatment,6
27,Active,Post-Treatment,5
28,Active,Post-Treatment,7
29,Active,Post-Treatment,7
30,Active,Post-Treatment,5
31,Mixed,Post-Treatment,8
32,Mixed,Post-Treatment,6
33,Mixed,Post-Treatment,7
34,Mixed,Post-Treatment,6
35,Mixed,Post-Treatment,6
36,Mixed,Post-Treatment,5
37,Mixed,Post-Treatment,5
38,Mixed,Post-Treatment,6
39,Mixed,Post-Treatment,7
40,Mixed,Post-Treatment,7
41,Mixed,Post-Treatment,6
42,Mixed,Post-Treatment,7
43,Mixed,Post-Treatment,7
44,Mixed,Post-Treatment,7
45,Mixed,Post-Treatment,7
